Date,School,Opponent
11/22/2015,Ball State,South Carolina State
11/22/2015,Towson,Bradley
11/22/2015,Duke,Georgetown
11/22/2015,Oral Roberts,Florida International
11/22/2015,Tulsa,Indiana State
11/22/2015,Lipscomb,Florida Atlantic
11/22/2015,Oklahoma State,Long Beach State
11/22/2015,Cal Poly,Maryland-Baltimore County
11/22/2015,Miami (FL),Butler
11/22/2015,Mississippi State,Missouri State
11/22/2015,Montana State,Wyoming
11/22/2015,Niagara,North Carolina A&T
11/22/2015,Purdue,Florida
11/22/2015,Saint Joseph's,Old Dominion
11/22/2015,Seton Hall,Mississippi
11/22/2015,South Carolina,Hofstra
11/22/2015,Texas Tech,Minnesota
11/22/2015,Utah,Temple
11/22/2015,Buffalo,Vermont
11/22/2015,Virginia,George Mason
11/22/2015,Wisconsin,Virginia Commonwealth
11/22/2015,Bowling Green State,Youngstown State
11/23/2015,Baylor,Savannah State
11/23/2015,Boise State,Concordia (OR)
11/23/2015,University of California,Sam Houston State
11/23/2015,UC-Irvine,Santa Clara
11/23/2015,Coppin State,Chestnut Hill
11/23/2015,Cornell,Penn State-Harrisburg
11/23/2015,Davidson,Mercer
11/23/2015,Detroit Mercy,Michigan-Dearborn
11/23/2015,Florida Gulf Coast,Bowling Green State
11/23/2015,Grand Canyon,Mississippi Valley State
11/23/2015,Iowa State,Chattanooga
11/23/2015,Jacksonville,Thomas University
11/23/2015,Kennesaw State,IUPUI
11/23/2015,La Salle,Lafayette
11/23/2015,Memphis,Texas-Arlington
11/23/2015,Michigan State,Eastern Michigan
11/23/2015,Morgan State,Goldey-Beacom
11/23/2015,North Texas,Idaho
11/23/2015,Northern Arizona,San Diego Christian
11/23/2015,Pacific,Notre Dame (CA)
11/23/2015,Providence,NJIT
11/23/2015,San Diego State,East Carolina
11/23/2015,Seattle,Eastern Washington
11/23/2015,Southern California,Cal State Northridge
11/23/2015,Southern Mississippi,William Carey
11/23/2015,Stetson,Fort Valley State
11/23/2015,Texas A&M-Corpus Christi,St. Edward's
11/23/2015,West Virginia,Bethune-Cookman
11/23/2015,Western Michigan,Rochester (MI)
11/23/2015,Xavier,Northern Kentucky
11/23/2015,Arizona State,North Carolina State
11/23/2015,Central Arkansas,Texas-San Antonio
11/23/2015,Weber State,Central Michigan
11/23/2015,Kansas,Chaminade
11/23/2015,Massachusetts,Clemson
11/23/2015,DePaul,Norfolk State
11/23/2015,Florida State,Ohio
11/23/2015,Indiana State,Hofstra
11/23/2015,Howard,Texas Southern
11/23/2015,Illinois,Chicago State
11/23/2015,Wake Forest,Indiana
11/23/2015,Kansas State,Missouri
11/23/2015,Marquette,Louisiana State
11/23/2015,Murray State,Milwaukee
11/23/2015,North Carolina,Northwestern
11/23/2015,Pepperdine,Duquesne
11/23/2015,Creighton,Rutgers
11/23/2015,Samford,Troy
11/23/2015,Belmont,South Alabama
11/23/2015,South Carolina,Tulsa
11/23/2015,UCLA,Nevada-Las Vegas
11/23/2015,Vanderbilt,St. John's (NY)
11/23/2015,Drake,Western Kentucky
11/23/2015,Youngstown State,North Dakota
11/24/2015,Brown,New Hampshire
11/24/2015,Bucknell,Siena
11/24/2015,UC-Riverside,Delaware State
11/24/2015,Canisius,St. Bonaventure
11/24/2015,Central Connecticut State,Binghamton
11/24/2015,Charleston Southern,East Tennessee State
11/24/2015,Cincinnati,Southeastern Louisiana
11/24/2015,College of Charleston,Coastal Carolina
11/24/2015,Colorado State,Abilene Christian
11/24/2015,Columbia,Wofford
11/24/2015,Delaware,Fairleigh Dickinson
11/24/2015,Fordham,Colgate
11/24/2015,George Washington,Gardner-Webb
11/24/2015,Green Bay,Akron
11/24/2015,Hartford,Niagara
11/24/2015,Illinois-Chicago,Roosevelt
11/24/2015,Jacksonville State,Alabama A&M
11/24/2015,James Madison,East Mennonite
11/24/2015,Kennesaw State,Belmont
11/24/2015,Kent State,Saint Francis (PA)
11/24/2015,Kentucky,Boston University
11/24/2015,Louisville,St. Francis (NY)
11/24/2015,Loyola (MD),Stony Brook
11/24/2015,Maryland-Eastern Shore,Fairfield
11/24/2015,Massachusetts-Lowell,Wheelock
11/24/2015,Miami (OH),IPFW
11/24/2015,Morehead State,Marshall
11/24/2015,Nebraska,Arkansas-Pine Bluff
11/24/2015,New Mexico State,Robert Morris
11/24/2015,North Texas,Samford
11/24/2015,Ohio State,Louisiana Tech
11/24/2015,Oklahoma,Incarnate Word
11/24/2015,Oregon State,Valparaiso
11/24/2015,Penn State,Radford
11/24/2015,Portland,Alcorn State
11/24/2015,Quinnipiac,North Carolina Central
11/24/2015,Sacramento State,UC-Davis
11/24/2015,Saint Louis,North Florida
11/24/2015,South Carolina Upstate,Winthrop
11/24/2015,South Dakota,South Dakota School of Mines
11/24/2015,South Florida,Albany (NY)
11/24/2015,Southern,Dillard
11/24/2015,Southern Illinois,Oakland
11/24/2015,Southern Illinois-Edwardsville,Campbell
11/24/2015,Southern Utah,Cal State Fullerton
11/24/2015,Tennessee,Army
11/24/2015,Tennessee State,Reinhardt
11/24/2015,Tennessee Tech,Jackson State
11/24/2015,Texas-El Paso,Florida A&M
11/24/2015,Texas-Rio Grande Valley,Southeast Missouri State
11/24/2015,Utah State,Utah Valley
11/24/2015,Virginia Military Institute,Presbyterian
11/24/2015,Virginia Tech,North Carolina A&T
11/24/2015,Washington State,Cal State Los Angeles
11/24/2015,Western Carolina,Hiwassee
11/24/2015,Wright State,Mt. St. Joseph
11/24/2015,Marquette,Arizona State
11/24/2015,Nevada-Las Vegas,Chaminade
11/24/2015,Cleveland State,Rider
11/24/2015,Weber State,Drake
11/24/2015,South Dakota State,Houston Baptist
11/24/2015,Idaho,Troy
11/24/2015,Indiana,St. John's (NY)
11/24/2015,South Alabama,IUPUI
11/24/2015,Maryland,Illinois State
11/24/2015,Duquesne,Milwaukee
11/24/2015,Murray State,Pepperdine
11/24/2015,North Carolina,Kansas State
11/24/2015,North Carolina State,Louisiana State
11/24/2015,Northwestern,Missouri
11/24/2015,Rhode Island,Texas Christian
11/24/2015,Kansas,UCLA
11/24/2015,Vanderbilt,Wake Forest
11/24/2015,Western Kentucky,Central Michigan
11/25/2015,Austin Peay,Oakland City
11/25/2015,Ball State,Indiana-Kokomo
11/25/2015,Bradley,New Orleans
11/25/2015,Brigham Young,Mississippi Valley State
11/25/2015,Citadel,Georgia Southern
11/25/2015,Colorado,Air Force
11/25/2015,Denver,Idaho State
11/25/2015,Duke,Yale
11/25/2015,Eastern Kentucky,Thomas More
11/25/2015,Eastern Michigan,Marygrove
11/25/2015,Florida,Vermont
11/25/2015,Florida International,Long Island University
11/25/2015,Georgia,High Point
11/25/2015,Harvard,Bryant
11/25/2015,Holy Cross,Sacred Heart
11/25/2015,Louisiana-Lafayette,Loyola (LA)
11/25/2015,Loyola Marymount,Cal State Northridge
11/25/2015,Maine,Longwood
11/25/2015,Manhattan,George Mason
11/25/2015,Maryland-Baltimore County,Navy
11/25/2015,McNeese State,Dillard
11/25/2015,Mississippi,Georgia State
11/25/2015,Missouri-Kansas City,Lincoln
11/25/2015,Nevada,Portland State
11/25/2015,New Mexico,Nicholls State
11/25/2015,North Dakota State,Montana
11/25/2015,North Texas,Troy
11/25/2015,Northern Colorado,Nebraska-Omaha
11/25/2015,Northern Illinois,Indiana-Northwest
11/25/2015,Northern Iowa,Dubuque
11/25/2015,Northwestern State,Louisiana College
11/25/2015,Oral Roberts,Tabor College
11/25/2015,Oregon,Arkansas State
11/25/2015,Pennsylvania,La Salle
11/25/2015,Pittsburgh,Cornell
11/25/2015,Princeton,Lafayette
11/25/2015,Rice,Lamar
11/25/2015,San Francisco,UC-Santa Barbara
11/25/2015,Seattle,Great Falls
11/25/2015,South Carolina State,Allen
11/25/2015,Tennessee-Martin,Harris-Stowe
11/25/2015,Texas-Arlington,Grambling
11/25/2015,Towson,Gallaudet
11/25/2015,Virginia,Lehigh
11/25/2015,Virginia Commonwealth,American
11/25/2015,Western Illinois,Trinity Christian
11/25/2015,William & Mary,Hampton
11/25/2015,Wisconsin,Prairie View
11/25/2015,Wyoming,Cal State Bakersfield
11/25/2015,Youngstown State,Thiel
11/25/2015,Milwaukee,Central Michigan
11/25/2015,St. John's (NY),Chaminade
11/25/2015,Creighton,Massachusetts
11/25/2015,Howard,Central Arkansas
11/25/2015,Samford,Idaho
11/25/2015,Nevada-Las Vegas,Indiana
11/25/2015,Kansas,Vanderbilt
11/25/2015,Loyola (IL),San Diego
11/25/2015,Connecticut,Michigan
11/25/2015,Weber State,Murray State
11/25/2015,Drake,Pepperdine
11/25/2015,Maryland,Rhode Island
11/25/2015,Rider,Houston Baptist
11/25/2015,Clemson,Rutgers
11/25/2015,Toledo,San Jose State
11/25/2015,South Dakota State,Cleveland State
11/25/2015,Syracuse,Charlotte
11/25/2015,Texas A&M,Texas
11/25/2015,Texas Christian,Illinois State
11/25/2015,Texas Southern,Texas-San Antonio
11/25/2015,Wake Forest,UCLA
11/25/2015,Gonzaga,Washington
11/25/2015,Duquesne,Western Kentucky
11/26/2015,Elon,Mount St. Mary's
11/26/2015,Arizona,Santa Clara
11/26/2015,Boise State,UC-Irvine
11/26/2015,Dayton,Iowa
11/26/2015,North Carolina-Asheville,Drexel
11/26/2015,Arkansas-Little Rock,East Carolina
11/26/2015,Texas A&M-Corpus Christi,Furman
11/26/2015,Georgia Tech,Arkansas
11/26/2015,Texas A&M,Gonzaga
11/26/2015,Appalachian State,Liberty
11/26/2015,Mercer,Tulane
11/26/2015,Michigan,Charlotte
11/26/2015,Michigan State,Boston College
11/26/2015,Monmouth,Notre Dame
11/26/2015,Providence,Evansville
11/26/2015,San Diego State,University of California
11/26/2015,Southern California,Wichita State
11/26/2015,Stephen F. Austin,Western Michigan
11/26/2015,Stetson,Bethune-Cookman
11/26/2015,Syracuse,Connecticut
11/26/2015,Texas,Washington
11/26/2015,Villanova,Stanford
11/26/2015,West Virginia,Richmond
11/26/2015,Xavier,Alabama
11/27/2015,Akron,Charleston Southern
11/27/2015,Albany (NY),NJIT
11/27/2015,Auburn,Northwestern State
11/27/2015,Baylor,Arkansas State
11/27/2015,College of Charleston,Western Carolina
11/27/2015,Elon,Texas A&M-Corpus Christi
11/27/2015,Fairfield,Columbia
11/27/2015,Florida,Florida Gulf Coast
11/27/2015,Fresno State,Delaware State
11/27/2015,Georgia State,IUPUI
11/27/2015,Hartford,North Florida
11/27/2015,Illinois State,Quincy
11/27/2015,Jackson State,Savannah State
11/27/2015,Louisiana Tech,North Carolina Central
11/27/2015,Marshall,James Madison
11/27/2015,Maryland-Eastern Shore,Saint Francis (PA)
11/27/2015,Miami (FL),Northeastern
11/27/2015,Minnesota,Nebraska-Omaha
11/27/2015,Missouri State,William Woods
11/27/2015,North Carolina-Greensboro,Navy
11/27/2015,North Carolina State,Winthrop
11/27/2015,Oklahoma State,Long Beach State
11/27/2015,Rice,UC-Riverside
11/27/2015,South Carolina,Lipscomb
11/27/2015,South Carolina Upstate,Georgia Southern
11/27/2015,Tennessee Tech,Robert Morris
11/27/2015,Utah,Idaho State
11/27/2015,Illinois,Alabama-Birmingham
11/27/2015,Chattanooga,Alabama State
11/27/2015,Providence,Arizona
11/27/2015,Army,Arkansas-Pine Bluff
11/27/2015,UC-Irvine,Boston College
11/27/2015,Richmond,University of California
11/27/2015,Washington,Charlotte
11/27/2015,Jacksonville State,Chicago State
11/27/2015,Citadel,Bob Jones University
11/27/2015,Colorado State,Portland
11/27/2015,Dayton,Monmouth
11/27/2015,Evansville,Santa Clara
11/27/2015,Abilene Christian,Florida A&M
11/27/2015,Gardner-Webb,Southeastern Louisiana
11/27/2015,Gonzaga,Connecticut
11/27/2015,Iowa State,Virginia Tech
11/27/2015,IPFW,Jacksonville
11/27/2015,Western Michigan,Liberty
11/27/2015,Toledo,Loyola (IL)
11/27/2015,Mercer,Appalachian State
11/27/2015,Michigan State,Boise State
11/27/2015,Furman,Mount St. Mary's
11/27/2015,Cincinnati,Nebraska
11/27/2015,Middle Tennessee,North Carolina-Asheville
11/27/2015,Notre Dame,Iowa
11/27/2015,Oakland,Alcorn State
11/27/2015,Memphis,Ohio State
11/27/2015,Sam Houston State,Bethune-Cookman
11/27/2015,San Jose State,San Diego
11/27/2015,West Virginia,San Diego State
11/27/2015,Kentucky,South Florida
11/27/2015,Texas-El Paso,Southern Illinois
11/27/2015,Stanford,Arkansas
11/27/2015,East Carolina,Stetson
11/27/2015,George Washington,Tennessee
11/27/2015,Michigan,Texas
11/27/2015,Syracuse,Texas A&M
11/27/2015,Tulane,Stephen F. Austin
11/27/2015,Villanova,Georgia Tech
11/27/2015,Alabama,Wichita State
11/27/2015,Xavier,Southern California
11/28/2015,Air Force,New Mexico State
11/28/2015,Army,Gardner-Webb
11/28/2015,Austin Peay,Samford
11/28/2015,Ball State,Valparaiso
11/28/2015,Binghamton,Boston University
11/28/2015,Bradley,Mississippi
11/28/2015,Brigham Young,Belmont
11/28/2015,Buffalo,Canisius
11/28/2015,Butler,Southern Illinois-Edwardsville
11/28/2015,Cal Poly,Antelope Valley
11/28/2015,Cal State Fullerton,Nevada
11/28/2015,Campbell,Coastal Carolina
11/28/2015,Columbia,Longwood
11/28/2015,Coppin State,Towson
11/28/2015,Creighton,Western Illinois
11/28/2015,Davidson,Denison
11/28/2015,Denver,South Alabama
11/28/2015,Drake,Illinois-Chicago
11/28/2015,East Tennessee State,North Carolina-Wilmington
11/28/2015,Eastern Illinois,Green Bay
11/28/2015,Eastern Kentucky,Southern Utah
11/28/2015,Eastern Michigan,Madonna
11/28/2015,Fairleigh Dickinson,Saint Peter's
11/28/2015,Fordham,Manhattan
11/28/2015,George Mason,Wright State
11/28/2015,Georgetown,Bryant
11/28/2015,High Point,Morgan State
11/28/2015,Houston,Louisiana-Monroe
11/28/2015,Howard,William & Mary
11/28/2015,Idaho,Northern Illinois
11/28/2015,Kennesaw State,Tennessee State
11/28/2015,Maryland,Cleveland State
11/28/2015,Maryland-Baltimore County,Colgate
11/28/2015,McNeese State,Texas State
11/28/2015,Miami (OH),Central Florida
11/28/2015,Mississippi State,Tennessee-Martin
11/28/2015,Missouri-Kansas City,South Dakota State
11/28/2015,Morehead State,Southern Mississippi
11/28/2015,Murray State,Alabama A&M
11/28/2015,Nevada-Las Vegas,Prairie View
11/28/2015,New Hampshire,American
11/28/2015,Niagara,Youngstown State
11/28/2015,North Carolina-Greensboro,IPFW
11/28/2015,North Dakota,Northern Iowa
11/28/2015,North Dakota State,North Carolina A&T
11/28/2015,Northwestern,New Orleans
11/28/2015,Oral Roberts,Detroit Mercy
11/28/2015,Penn State,Bucknell
11/28/2015,Pittsburgh,Kent State
11/28/2015,Portland State,Multnomah
11/28/2015,Presbyterian,Wofford
11/28/2015,Purdue,Lehigh
11/28/2015,Sacramento State,South Dakota
11/28/2015,Seton Hall,Georgia
11/28/2015,Siena,Loyola (MD)
11/28/2015,South Carolina Upstate,Citadel
11/28/2015,Southeast Missouri State,Loyola Marymount
11/28/2015,St. Bonaventure,Hofstra
11/28/2015,Stony Brook,Farmingdale State
11/28/2015,Tennessee Tech,Cincinnati-Clermont
11/28/2015,Texas Tech,Hawaii
11/28/2015,Tulsa,Arkansas-Little Rock
11/28/2015,Utah Valley,UC-Davis
11/28/2015,Virginia Commonwealth,Old Dominion
11/28/2015,Wagner,Staten Island
11/28/2015,Washington State,Texas Southern
11/28/2015,Wyoming,Montana State
11/28/2015,Oakland,Abilene Christian
11/28/2015,Virginia Tech,Alabama-Birmingham
11/28/2015,Arkansas-Pine Bluff,Southeastern Louisiana
11/28/2015,Chattanooga,Jacksonville State
11/28/2015,Alabama State,Chicago State
11/28/2015,Cincinnati,George Washington
11/28/2015,San Diego,Drexel
11/28/2015,Eastern Washington,Pacific
11/28/2015,Florida A&M,Alcorn State
11/28/2015,Iowa State,Illinois
11/28/2015,Navy,Jacksonville
11/28/2015,Louisville,Saint Louis
11/28/2015,Middle Tennessee,Toledo
11/28/2015,Robert Morris,Mississippi Valley State
11/28/2015,North Carolina-Asheville,Loyola (IL)
11/28/2015,Southern Illinois,Portland
11/28/2015,North Florida,St. Francis (NY)
11/28/2015,Nebraska,Tennessee
11/28/2015,Texas-El Paso,Colorado State
11/29/2015,Albany (NY),Yale
11/29/2015,Arizona State,UC-Santa Barbara
11/29/2015,Bowling Green State,Urbana
11/29/2015,Central Connecticut State,Maine
11/29/2015,Colorado,Northern Colorado
11/29/2015,Dartmouth,Long Island University
11/29/2015,Duke,Utah State
11/29/2015,Florida Gulf Coast,Ave Maria
11/29/2015,Hartford,St. Francis (NY)
11/29/2015,Holy Cross,Harvard
11/29/2015,Kansas State,South Carolina State
11/29/2015,Lafayette,Pennsylvania
11/29/2015,Lamar,UC-Riverside
11/29/2015,Marquette,Jackson State
11/29/2015,Massachusetts-Lowell,Cornell
11/29/2015,NJIT,Maine-Fort Kent
11/29/2015,North Carolina-Greensboro,Jacksonville
11/29/2015,Oklahoma,Wisconsin
11/29/2015,Pepperdine,Montana
11/29/2015,Rhode Island,Rider
11/29/2015,Rice,Texas-Arlington
11/29/2015,Sacramento State,Pacific
11/29/2015,Saint Mary's (CA),Cal State Bakersfield
11/29/2015,Sam Houston State,Wiley
11/29/2015,San Francisco,Delaware State
11/29/2015,South Florida,Savannah State
11/29/2015,Southern Methodist,Brown
11/29/2015,Temple,Delaware
11/29/2015,Tennessee Tech,Mississippi Valley State
11/29/2015,Texas-San Antonio,Texas-Permian Basin
11/29/2015,UCLA,Cal State Northridge
11/29/2015,Vermont,Marist
11/29/2015,Stephen F. Austin,Appalachian State
11/29/2015,Arizona,Boise State
11/29/2015,Xavier,Dayton
11/29/2015,South Dakota,Eastern Washington
11/29/2015,Evansville,UC-Irvine
11/29/2015,Iowa,Wichita State
11/29/2015,Navy,IPFW
11/29/2015,Tulane,Liberty
11/29/2015,Mercer,Western Michigan
11/29/2015,Monmouth,Southern California
11/29/2015,Alabama,Notre Dame
11/29/2015,Michigan State,Providence
11/29/2015,Santa Clara,Boston College
11/30/2015,Campbell,Virginia Military Institute
11/30/2015,Central Michigan,McNeese State
11/30/2015,College of Charleston,Louisiana State
11/30/2015,Elon,Kennesaw State
11/30/2015,Florida International,Stetson
11/30/2015,Georgia Southern,Bob Jones University
11/30/2015,Grambling,Selma University
11/30/2015,Grand Canyon,Hampton
11/30/2015,Houston,Texas-Rio Grande Valley
11/30/2015,Howard,Central Pennsylvania College
11/30/2015,Indiana,Alcorn State
11/30/2015,Kentucky,Illinois State
11/30/2015,Louisiana-Monroe,Chattanooga
11/30/2015,Minnesota,Clemson
11/30/2015,Nevada,Holy Names
11/30/2015,New Hampshire,Bryant
11/30/2015,North Carolina A&T,Northern Kentucky
11/30/2015,North Florida,Trinity Baptist
11/30/2015,Northern Arizona,Norfolk State
11/30/2015,Northern Iowa,North Texas
11/30/2015,Oregon,Fresno State
11/30/2015,Princeton,Fairleigh Dickinson
11/30/2015,Radford,James Madison
11/30/2015,Rutgers,Wake Forest
11/30/2015,South Alabama,Spring Hill
11/30/2015,South Carolina,Western Carolina
11/30/2015,South Carolina Upstate,Toccoa Falls
11/30/2015,Southern,Paul Quinn
11/30/2015,Southern Illinois-Edwardsville,Green Bay
12/1/2015,Alabama-Birmingham,Georgia State
12/1/2015,Arkansas,Northwestern State
12/1/2015,Arkansas-Little Rock,Central Arkansas
12/1/2015,Ball State,IUPUI
12/1/2015,Belmont,Lipscomb
12/1/2015,Binghamton,Colgate
12/1/2015,Cal State Fullerton,Cal State Dominguez Hills
12/1/2015,University of California,Seattle
12/1/2015,Charlotte,Davidson
12/1/2015,Cornell,Siena
12/1/2015,Delaware,Bradley
12/1/2015,Duquesne,Mississippi Valley State
12/1/2015,East Carolina,Florida Atlantic
12/1/2015,Eastern Illinois,Indiana State
12/1/2015,Evansville,Alabama State
12/1/2015,Florida,Richmond
12/1/2015,Furman,Piedmont
12/1/2015,Georgetown,Maryland-Eastern Shore
12/1/2015,Georgia,Oakland
12/1/2015,Georgia Tech,Wofford
12/1/2015,Iona,Fairfield
12/1/2015,Iowa State,North Dakota State
12/1/2015,Jacksonville State,Samford
12/1/2015,Kansas,Loyola (MD)
12/1/2015,Long Beach State,San Diego State
12/1/2015,Memphis,Louisiana Tech
12/1/2015,Missouri,Arkansas State
12/1/2015,Missouri-Kansas City,Tennessee-Martin
12/1/2015,Missouri State,Utah State
12/1/2015,Mount St. Mary's,American
12/1/2015,Nebraska,Miami (FL)
12/1/2015,Nebraska-Omaha,Eastern Michigan
12/1/2015,New Mexico,Oral Roberts
12/1/2015,Nicholls State,Louisiana College
12/1/2015,North Carolina,Maryland
12/1/2015,North Carolina State,Michigan
12/1/2015,North Dakota,Waldorf
12/1/2015,Ohio,Marshall
12/1/2015,Ohio State,Virginia
12/1/2015,Pittsburgh,Purdue
12/1/2015,Quinnipiac,Albany (NY)
12/1/2015,Saint Joseph's,Villanova
12/1/2015,San Francisco,Eastern Washington
12/1/2015,Southeastern Louisiana,Loyola (LA)
12/1/2015,Texas,Texas-Arlington
12/1/2015,Troy,Southern Mississippi
12/1/2015,Utah Valley,Montana State
12/1/2015,Virginia Tech,Northwestern
12/1/2015,Weber State,Pacific Union
12/1/2015,Western Kentucky,Eastern Kentucky
12/1/2015,William & Mary,Old Dominion
12/1/2015,Wright State,Albion
12/2/2015,Louisiana State,North Florida
12/2/2015,Maine,Army
12/2/2015,Marquette,Grambling
12/2/2015,Massachusetts,Boston University
12/2/2015,Michigan State,Louisville
12/2/2015,Middle Tennessee,Virginia Commonwealth
12/2/2015,Mississippi State,Texas Southern
12/2/2015,New Mexico State,Texas-El Paso
12/2/2015,Norfolk State,Mercy
12/2/2015,North Carolina A&T,North Carolina-Greensboro
12/2/2015,North Carolina-Wilmington,Coker
